Datum;Superzahl;Anz. Kl. 1;  Quote Kl. 1;Anz. Kl. 2;  Quote Kl. 2;Anz. Kl. 3;  Quote Kl. 3;Anz. Kl. 4;  Quote Kl. 4;Anz. Kl. 5;  Quote Kl. 5;Anz. Kl. 6;  Quote Kl. 6;Anz. Kl. 7;  Quote Kl. 7;Anz. Kl. 8;  Quote Kl. 8;Anz. Kl. 9;  Quote Kl. 9
04.04.2018;7;   Jackpot;4.294.651,90;1;755.815,70;41;9.217,20;365;3.106,00;2.529;149,4;19.093;39,5;43.060;17,5;324.945;10,4;312.258;5;33;46;13;30;28;23
07.04.2018;8;1;7.135.158,60;1;1.619.838,20;57;14.209,10;564;4.308,00;3.942;205,4;32.684;49,5;79.698;20,3;663.318;10,9;630.514;5;12;27;47;19;34;15
11.04.2018;5;1;2.047.239,70;        --;           --;53;6.988,50;263;4.225,00;1.985;186,5;15.677;47,2;38.297;19,3;308.971;10,7;298.455;5;44;20;25;27;48;9
14.04.2018;6;   Jackpot;2.800.232,10;4;397.460,20;60;13.248,60;507;4.703,60;3.773;210,6;31.152;51;78.956;20,1;651.697;10,9;635.634;5;42;4;34;33;47;9
18.04.2018;8;   Jackpot;4.129.570,00;1;755.525,40;52;7.264,60;299;3.790,20;2.247;168,1;20.205;37,3;40.120;18,8;373.098;9,1;300.172;5;35;37;7;10;2;4
21.04.2018;5;   Jackpot;6.914.031,10;2;785.961,00;79;9.948,80;600;3.929,80;4.545;172,9;33.382;47;85.176;18,4;666.261;10,6;649.984;5;38;29;12;19;23;15
25.04.2018;6;1;8.298.864,50;6;124.685,50;112;3.339,70;874;1.283,90;4.502;83;34.502;21,6;63.031;11,8;495.163;6,7;390.609;5;17;6;11;10;25;4
28.04.2018;4;   Jackpot;2.750.744,10;5;316.346,90;84;9.415,00;656;3.616,70;4.069;194,3;39.915;39,6;78.512;20,1;766.277;9,2;584.419;5;11;48;2;33;47;9
02.05.2018;7;   Jackpot;4.057.466,70;3;237.287,20;62;5.740,80;398;2.682,80;2.962;120,1;21.030;33,8;50.143;14,1;372.505;8,5;356.686;5;42;3;5;44;19;12
05.05.2018;7;   Jackpot;6.870.361,30;5;308.762,10;118;6.541,50;1.003;2.308,70;6.386;120,8;47.599;32,4;105.876;14,5;777.250;8,9;744.947;5;5;34;49;1;17;31
09.05.2018;5;1;8.299.495,40;8;99.595,40;120;3.319,80;851;1.404,40;3.574;111,4;28.043;28,4;51.302;15,5;406.404;8,8;353.668;5;31;37;43;25;3;9
12.05.2018;0;   Jackpot;2.716.806,00;2;831.457,30;48;17.322,00;533;4.679,80;2.471;336,4;31.207;53,2;47.680;34,8;593.311;12,6;375.819;5;27;23;38;36;42;29
16.05.2018;9;   Jackpot;4.035.600,80;   Jackpot;764.248,90;23;16.614,10;273;4.199,10;1.871;204,2;17.343;44;35.302;21,6;334.132;10,2;268.360;5;13;19;12;2;46;34
19.05.2018;2;   Jackpot;6.839.179,10;   Jackpot;2.406.220,10;45;18.244,10;532;4.629,60;3.217;255,2;33.090;49,6;66.985;24,5;689.071;10,7;535.933;5;41;27;44;3;49;4
23.05.2018;6;1;11.352.207,50;        --;           --;33;11.662,80;268;4.308,20;1.772;217,1;13.665;56,3;34.248;22,4;271.275;12,7;282.247;5;29;45;16;7;47;36
26.05.2018;6;   Jackpot;2.750.653,10;1;1.557.010,90;56;13.901,80;482;4.845,40;4.018;193,7;33.483;46,5;82.989;18,7;683.851;10,2;633.743;5;48;27;24;16;47;10
30.05.2018;2;   Jackpot;4.083.175,20;1;803.198,20;28;14.342,80;290;4.154,40;1.323;303,5;15.227;52,7;25.688;31,2;277.866;13;209.165;5;29;15;35;23;38;48
02.06.2018;7;2;3.433.497,20;1;1.518.784,80;133;5.709,70;1.015;2.244,50;6.898;110;51.358;29,5;114.601;13,2;854.038;8;755.384;5;24;30;1;19;31;10
06.06.2018;6;   Jackpot;1.274.689,70;   Jackpot;720.710,80;29;12.426,00;315;3.431,90;2.125;169,5;17.274;41,7;39.820;18;322.416;10;295.343;5;18;13;3;15;8;42
09.06.2018;9;   Jackpot;4.003.299,00;2;1.164.101,40;63;12.757,80;432;5.581,50;3.052;263,3;27.234;59;62.462;25,7;569.848;12,6;502.746;5;39;13;34;16;42;35
13.06.2018;3;   Jackpot;5.336.559,50;3;245.942,20;28;13.175,40;313;3.535,90;2.356;156,5;18.961;38,9;45.695;16,1;358.176;9,2;340.914;5;4;48;3;6;10;46
16.06.2018;2;1;8.098.317,10;5;322.418,50;144;5.597,50;1.399;1.728,40;5.005;161;51.431;31,3;79.717;20,2;802.754;9;538.709;5;46;40;19;4;31;33
20.06.2018;5;   Jackpot;1.250.062,40;   Jackpot;716.263,50;36;9.948,10;326;3.295,60;2.057;174,1;15.339;46,6;35.725;20;280.894;11,4;270.683;5;22;31;33;36;6;43
23.06.2018;1;   Jackpot;3.962.049,30;2;1.155.604,80;65;12.268,80;617;3.877,50;3.545;224,9;37.781;42,2;67.863;23,5;716.231;10;505.190;5;25;49;29;48;17;6
27.06.2018;3;   Jackpot;5.338.192,30;   Jackpot;795.124,40;28;14.198,60;337;3.539,10;2.131;186,5;18.135;43,8;38.151;20,8;316.437;11,3;284.746;5;37;46;13;35;45;17
30.06.2018;9;1;10.578.109,70;        --;           --;47;17.455,10;582;4.228,80;3.916;209,4;37.099;44,2;73.599;22,2;689.766;10,7;538.900;5;24;42;40;38;16;37
04.07.2018;8;   Jackpot;1.274.569,10;1;715.468,20;40;8.943,30;329;3.262,00;2.294;155,9;19.593;36,5;41.631;17,1;357.934;8,9;305.664;5;25;1;37;5;32;10
07.07.2018;2;   Jackpot;3.996.537,20;3;528.863,40;80;9.916,10;760;3.131,40;4.041;196,3;40.783;38,9;72.980;21,7;726.040;9,8;535.501;5;36;25;13;5;18;2
11.07.2018;5;1;5.322.768,10;3;252.666,10;23;16.478,20;301;3.777,40;1.659;228,4;14.552;52;35.241;21,5;294.055;11,5;290.993;5;44;18;3;1;42;28
14.07.2018;0;   Jackpot;2.710.189,00;8;205.646,70;203;4.052,10;2.378;1.037,70;3.856;213,3;40.672;40,4;55.491;29,6;612.633;12;402.285;5;49;48;41;40;47;30
18.07.2018;1;   Jackpot;4.204.127,60;1;882.297,20;34;12.974,90;403;3.283,90;1.810;243,7;20.028;44;35.645;24,7;373.306;10,6;270.897;5;33;5;14;19;41;22
21.07.2018;5;1;6.931.434,90;5;307.289,60;135;5.690,50;965;2.388,20;5.889;130,4;48.456;31,7;97.277;15,7;788.699;8,7;643.060;5;7;29;6;49;1;20
25.07.2018;9;   Jackpot;1.228.397,50;2;358.741,10;26;13.797,70;287;3.749,90;1.551;231,2;13.887;51,6;29.496;24,3;272.199;11,8;238.727;5;8;41;9;39;43;40
28.07.2018;1;   Jackpot;3.876.506,70;1;1.569.441,40;57;13.767,00;482;4.884,10;3.263;240,4;35.508;44,1;60.002;26,1;658.933;10,7;469.166;5;35;11;7;31;34;36
